Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
Male,Yes,2,Graduate,Yes,1860000,1460000,4700000,360,Urban,Yes
Female,No,2,Not Graduate,No,1010000,1290000,5900000,240,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1920000,1980000,7900000,12,Rural,No
Male,No,1,Not Graduate,No,1490000,740000,7500000,24,Semiurban,Yes
Male,No,3,Graduate,No,1770000,1270000,3600000,180,Rural,No
Female,Yes,3,Graduate,No,970000,940000,8100000,36,Semiurban,No
Male,Yes,4,Not Graduate,Yes,1080000,690000,2000000,360,Semiurban,Yes
Male,No,4,Not Graduate,Yes,1320000,1830000,9400000,300,Urban,Yes
Male,No,3,Not Graduate,Yes,950000,980000,4400000,120,Urban,Yes
Female,No,3,Graduate,No,1510000,1760000,4500000,180,Urban,Yes
Male,Yes,1,Graduate,Yes,1800000,1300000,5800000,240,Semiurban,No
Male,No,4,Not Graduate,No,750000,520000,3800000,360,Semiurban,Yes
Male,Yes,1,Not Graduate,No,1630000,1600000,8900000,120,Urban,Yes
Male,Yes,4,Not Graduate,Yes,1020000,1420000,2200000,240,Semiurban,No
Female,Yes,4,Graduate,No,620000,1740000,2400000,24,Semiurban,Yes
Male,No,1,Graduate,Yes,1150000,520000,8000000,120,Urban,Yes
Female,Yes,2,Not Graduate,Yes,1490000,1860000,8900000,180,Rural,No
Female,No,2,Not Graduate,No,1000000,1170000,10000000,60,Urban,Yes
Female,Yes,2,Graduate,Yes,1610000,500000,1300000,120,Semiurban,No
Male,No,4,Not Graduate,Yes,1910000,1510000,5100000,24,Rural,Yes
Female,No,1,Graduate,No,1550000,1820000,6500000,180,Rural,No
Male,Yes,2,Graduate,Yes,1800000,1090000,1500000,240,Semiurban,No
Female,No,3,Not Graduate,Yes,560000,1720000,1500000,24,Urban,Yes
Female,Yes,2,Graduate,No,840000,980000,3200000,36,Rural,No
Female,Yes,1,Graduate,Yes,1720000,880000,8500000,360,Urban,No
Female,Yes,4,Graduate,No,550000,950000,2800000,120,Rural,No
Female,Yes,1,Graduate,No,1340000,1520000,2500000,300,Rural,No
Female,Yes,4,Graduate,Yes,1860000,1680000,3900000,120,Urban,Yes
Female,Yes,1,Graduate,No,1420000,1390000,4100000,360,Semiurban,No
Female,Yes,1,Not Graduate,No,1720000,900000,1500000,60,Semiurban,Yes
Male,No,3,Graduate,Yes,1320000,1330000,3600000,60,Rural,Yes
Male,Yes,2,Graduate,No,840000,1880000,3000000,120,Rural,Yes
Female,Yes,2,Graduate,No,640000,1660000,2200000,240,Rural,No
Female,No,1,Graduate,Yes,1370000,1800000,8000000,24,Semiurban,Yes
Female,No,2,Graduate,Yes,1960000,1030000,2400000,12,Semiurban,No
Male,Yes,3,Not Graduate,No,930000,500000,3800000,24,Urban,No
Female,Yes,1,Graduate,No,1250000,1240000,9500000,36,Urban,Yes
Male,Yes,2,Graduate,Yes,1670000,1010000,5800000,120,Urban,Yes
Male,No,2,Not Graduate,No,1470000,1870000,6900000,36,Rural,No
Male,Yes,4,Graduate,Yes,1400000,510000,8300000,240,Rural,Yes
Male,No,2,Not Graduate,No,1300000,900000,1800000,300,Semiurban,Yes
Male,Yes,2,Not Graduate,No,1330000,880000,4700000,12,Rural,No
Female,Yes,4,Graduate,No,700000,1660000,3100000,180,Semiurban,No
Female,No,1,Not Graduate,No,1460000,790000,7100000,12,Rural,Yes
Female,Yes,1,Not Graduate,No,1190000,1980000,600000,36,Semiurban,No
Female,Yes,3,Graduate,No,750000,1390000,8000000,36,Rural,Yes
Female,Yes,4,Graduate,Yes,1980000,1260000,6700000,36,Rural,No
Male,No,1,Not Graduate,No,1540000,810000,5500000,240,Rural,Yes
Female,Yes,2,Not Graduate,No,1530000,1750000,9700000,24,Urban,Yes
Female,Yes,2,Graduate,No,960000,650000,9100000,60,Rural,No
Male,No,2,Graduate,Yes,1040000,1920000,5300000,180,Semiurban,No
Female,No,3,Graduate,No,720000,1980000,7700000,240,Rural,Yes
Male,Yes,1,Graduate,Yes,1960000,1090000,1900000,120,Urban,Yes
Female,Yes,4,Graduate,No,1800000,1010000,500000,24,Rural,Yes
Male,No,1,Not Graduate,Yes,990000,1610000,4100000,12,Urban,No
Female,Yes,4,Not Graduate,No,910000,1050000,1400000,300,Rural,No
Female,Yes,4,Not Graduate,No,1830000,720000,2500000,60,Semiurban,Yes
Male,No,1,Not Graduate,No,760000,1460000,3900000,120,Urban,Yes
Male,Yes,2,Graduate,No,1880000,1890000,5400000,60,Urban,Yes
Male,Yes,2,Not Graduate,No,1270000,930000,3800000,180,Rural,Yes
Male,No,4,Not Graduate,No,830000,1310000,7900000,60,Rural,Yes
Male,Yes,2,Not Graduate,Yes,790000,1290000,5200000,36,Semiurban,Yes
Male,Yes,3,Graduate,No,1080000,1270000,5800000,60,Semiurban,No
Male,Yes,3,Graduate,No,540000,1510000,7200000,240,Semiurban,Yes
Male,No,4,Graduate,Yes,810000,880000,7800000,12,Urban,No
Female,Yes,2,Graduate,Yes,530000,1920000,1400000,36,Urban,No
Female,No,4,Not Graduate,No,1620000,1910000,3500000,36,Semiurban,Yes
Male,No,3,Not Graduate,Yes,1140000,1630000,1500000,360,Urban,Yes
Female,Yes,3,Not Graduate,Yes,1890000,1930000,800000,180,Semiurban,No
Female,No,3,Not Graduate,Yes,1670000,1110000,9100000,12,Urban,Yes
Female,Yes,1,Not Graduate,Yes,1870000,640000,7900000,24,Rural,Yes
Female,Yes,3,Not Graduate,Yes,980000,1560000,900000,240,Urban,No
Male,Yes,2,Not Graduate,Yes,1770000,1650000,2600000,24,Rural,No
Female,No,1,Not Graduate,Yes,1620000,1910000,4300000,360,Semiurban,Yes
Male,Yes,3,Graduate,No,1310000,1590000,4500000,24,Urban,Yes
Female,Yes,2,Not Graduate,No,850000,840000,1500000,60,Semiurban,Yes
Female,Yes,3,Not Graduate,No,880000,850000,6200000,24,Semiurban,Yes
Female,No,2,Graduate,Yes,1170000,780000,1500000,300,Rural,Yes
Male,No,2,Not Graduate,No,720000,910000,5200000,12,Semiurban,No
Female,Yes,3,Not Graduate,No,770000,1030000,7600000,60,Semiurban,No
Male,Yes,3,Graduate,No,1780000,1030000,5700000,300,Semiurban,Yes
Female,Yes,1,Graduate,No,590000,1710000,6100000,24,Semiurban,Yes
Male,Yes,3,Not Graduate,Yes,1300000,1730000,4400000,60,Semiurban,Yes
Female,No,2,Graduate,Yes,1990000,1600000,5300000,12,Semiurban,Yes
Male,No,4,Graduate,Yes,1800000,1070000,6600000,36,Urban,No
Male,No,1,Graduate,Yes,720000,1990000,6500000,360,Semiurban,No
Female,No,2,Graduate,Yes,890000,850000,5600000,120,Rural,No
Male,No,2,Not Graduate,Yes,1510000,1870000,3200000,180,Semiurban,No
Female,No,4,Graduate,No,1040000,1800000,7000000,120,Rural,Yes
Female,No,3,Graduate,No,1040000,1740000,8100000,12,Rural,No
Female,Yes,2,Not Graduate,Yes,1950000,1710000,4600000,60,Rural,Yes
